id	acc	aucs	auprcs	props
FOS	0.9039080459770115	0.4585547002389911	0.08765536101650141	0.096091956
JUN	0.9041379310344828	0.4677719304342948	0.0864128939148339	0.09586207
MYC	0.9142528735632184	0.4692241784361958	0.07999396285557314	0.08574712
PAX5	0.9062068965517242	0.48581235512977383	0.08857720648459849	0.0937931
MAX	0.9080459770114943	0.49903132911392406	0.09519671171816435	0.09195402
CTCF	0.8917241379310344	0.5014162491810386	0.11338166161502039	0.10827586
NFKB1	0.9264367816091954	0.5068300248138958	0.07092202124234837	0.07356322
GATA2	0.8958620689655172	0.5097870609700902	0.11186953503356162	0.104137935
TBP	0.9016091954022989	0.5111955325101155	0.09775312492652447	0.0983908
SPI1	0.8944827586206896	0.5179529991841963	0.1126983231641521	0.10551724
TAF1	0.9749425287356321	0.5218541585094393	0.03636835333317742	0.02505747
NFKB2	0.9783908045977011	0.5840315549512078	0.08737748290671762	0.021609195
