id	acc	aucs	auprcs	props
SydhHuvecGata2Ucd	0.943868131868	0.365389540017	0.04032518183	0.0561318695545
SydhHuvecCfosUcd	0.904021978022	0.368628733665	0.0699798826608	0.0959780216217
SydhHuvecCjun	0.94010989011	0.375474991287	0.0437331992663	0.0598901100457
UtaHuvecCtcf	0.916285714286	0.415542191829	0.0675589820695	0.0837142840028
HaibGm12891Pu1Pcr1x	0.907494505495	0.454773601586	0.0832132222704	0.09250549227
BroadHuvecCtcf	0.929120879121	0.456873054337	0.0629929024618	0.070879124105
UwHuvecCtcf	0.929428571429	0.478605402097	0.0668045263202	0.0705714300275
SydhGm12891NfkbTnfaIggrab	0.949428571429	0.485829368606	0.0476570420489	0.0505714267492
HaibGm12891Pax5c20V0416101	0.994549450549	0.504150369044	0.00760644355465	0.00545054953545
HaibGm12891Pou2f2Pcr1x	0.975296703297	0.518335359452	0.0255355636246	0.0247032959014
UtaGm12891Ctcf	0.921186813187	0.57135079409	0.0946017168244	0.078813187778
HaibHuvecPol24h8V0416101	0.941340659341	0.572309487831	0.0740737145379	0.0586593411863
UtaHuvecCmyc	0.99	0.594883699939	0.0139169227439	0.00999999977648
HaibGm12891Pol2Pcr1x	0.97378021978	0.611238451685	0.036651741575	0.0262197796255
HaibGm12891Pol24h8Pcr1x	0.975208791209	0.616173002286	0.0354302688059	0.0247912090272
SydhHuvecMax	0.983252747253	0.616943909298	0.0244753997308	0.0167472530156
SydhGm12891Pol2Iggmus	0.967868131868	0.640308932299	0.05060283536	0.0321318693459
BroadHuvecPol2b	0.990945054945	0.651306808003	0.01549750093	0.0090549448505
HaibGm12891Yy1sc281V0416101	0.978351648352	0.658101683628	0.0372992676466	0.0216483511031
SydhHuvecPol2	0.979252747253	0.663252673554	0.0372932041712	0.0207472536713
HaibHuvecPol2Pcr1x	0.968043956044	0.66478549748	0.0559846404347	0.0319560430944
HaibGm12891Taf1Pcr1x	0.981428571429	0.706963657601	0.0392416366131	0.0185714289546
UtaHuvecPol2	0.971274725275	0.779458143283	0.0776494926649	0.0287252739072
BroadHuvecEzh239875	0.988461538462	0.797120876678	0.0343749147966	0.011538461782
