id	acc	aucs	auprcs	props
TBP	0.9052873563218391	0.5031507788192715	0.10060326373600603	0.094712645
MYC	0.9154022988505747	0.5111186480466448	0.0887785785052278	0.0845977
NFKB1	0.9255172413793104	0.5162343685795416	0.07725619452143478	0.07448276
TAF1	0.9742528735632184	0.5294929380435516	0.030813398999815528	0.025747126
GATA2	0.892183908045977	0.5376438812489817	0.1198177832454793	0.107586205
CTCF	0.8958620689655172	0.5502534637783861	0.12745621761966772	0.104137935
PAX5	0.9089655172413793	0.5856037614383593	0.12000200253785176	0.09103448
SPI1	0.8933333333333333	0.5887850984625178	0.1516961115527392	0.10689655
NFKB2	0.9783908045977011	0.5898106302991521	0.034377931921971486	0.021609195
JUN	0.9041379310344828	0.5986063932987858	0.12374583574894096	0.09586207
MAX	0.9066666666666666	0.6152542616333097	0.1277459373211998	0.093333334
FOS	0.9	0.6189706551577341	0.13972939442568383	0.1
