id	acc	aucs	auprcs	props
HaibGm12891Pou2f2Pcr1x	0.975164835165	0.503445004896	0.0248032461261	0.02483516559
HaibGm12891Pax5c20V0416101	0.994527472527	0.515488308452	0.00553973623767	0.00547252735123
SydhGm12891NfkbTnfaIggrab	0.949604395604	0.533031658438	0.0541629092505	0.050395604223
UwHuvecCtcf	0.929076923077	0.566984048254	0.0869040474344	0.0709230750799
BroadHuvecCtcf	0.928879120879	0.579703904991	0.0903284302351	0.0711208805442
HaibHuvecPol24h8V0416101	0.941450549451	0.603623259196	0.0858155820385	0.0585494488478
UtaHuvecCmyc	0.989824175824	0.610812918833	0.014278893241	0.0101758241653
UtaHuvecCtcf	0.916351648352	0.627136420894	0.127307626545	0.0836483538151
SydhHuvecMax	0.983208791209	0.653057799474	0.0260380347918	0.0167912095785
HaibGm12891Pu1Pcr1x	0.90767032967	0.665533730336	0.135050957087	0.0923296734691
SydhGm12891Pol2Iggmus	0.967846153846	0.675065114495	0.0539929363428	0.0321538448334
BroadHuvecPol2b	0.990989010989	0.677152091481	0.0150576299221	0.00901098921895
HaibGm12891Pol24h8Pcr1x	0.975186813187	0.693295743182	0.0450954156265	0.0248131863773
SydhHuvecGata2Ucd	0.94389010989	0.693996784548	0.0913085915091	0.0561098903418
SydhHuvecPol2	0.979362637363	0.694331619322	0.0407138808401	0.0206373631954
HaibGm12891Pol2Pcr1x	0.973956043956	0.698033659108	0.0500102582586	0.0260439552367
HaibGm12891Yy1sc281V0416101	0.978307692308	0.698625318774	0.0454940097294	0.0216923076659
UtaGm12891Ctcf	0.920769230769	0.705099774732	0.135585475876	0.0792307704687
HaibHuvecPol2Pcr1x	0.967758241758	0.717363097773	0.0737189421858	0.0322417579591
SydhHuvecCjun	0.940351648352	0.720057221418	0.117480920101	0.0596483498812
SydhHuvecCfosUcd	0.904659340659	0.721464244477	0.193822665891	0.0953186824918
HaibGm12891Taf1Pcr1x	0.981362637363	0.728325729457	0.0391883238261	0.0186373628676
UtaHuvecPol2	0.971384615385	0.831748638945	0.109559952574	0.028615385294
BroadHuvecEzh239875	0.988395604396	0.848974694524	0.0452623616289	0.011604395695
