id	acc	aucs	auprcs	props
SydhHuvecGata2Ucd	0.9435384615384615	0.33583587046116775	0.03853740171686545	0.05646154
SydhHuvecCjun	0.9401978021978022	0.3649257696576301	0.04269184280875334	0.059802197
SydhHuvecCfosUcd	0.9044835164835164	0.4009513439927221	0.07369282187381046	0.09551648
UtaHuvecCtcf	0.9166813186813186	0.4374625451762323	0.06940578617419395	0.08331868
BroadHuvecCtcf	0.9290989010989011	0.4493544109735968	0.06106433479836171	0.070901096
HaibGm12891Pu1Pcr1x	0.9075604395604395	0.449558952273413	0.0798330525976807	0.09243956
UwHuvecCtcf	0.9293626373626374	0.47005656153444225	0.06381927341049302	0.07063736
UtaGm12891Ctcf	0.920901098901099	0.47972095791838526	0.07534474125799102	0.0790989
SydhGm12891NfkbTnfaIggrab	0.9496483516483516	0.48456017360384096	0.046825777559280864	0.05035165
HaibGm12891Pax5c20V0416101	0.9944835164835165	0.5017689193721259	0.0074733005157689375	0.0055164834
HaibGm12891Pou2f2Pcr1x	0.9752967032967033	0.5148532365287383	0.026340744935335936	0.024703296
UtaHuvecCmyc	0.989978021978022	0.5821243302844626	0.013463597033041043	0.010021978
HaibHuvecPol24h8V0416101	0.9418021978021978	0.5958803739731748	0.08488364166629096	0.058197804
SydhHuvecPol2	0.9789670329670329	0.635396130553851	0.03377936917599846	0.021032967
SydhGm12891Pol2Iggmus	0.967934065934066	0.6372211285642473	0.04985743524162635	0.032065935
SydhHuvecMax	0.9831428571428571	0.6408201774101594	0.026055963029553538	0.016857143
HaibHuvecPol2Pcr1x	0.9678461538461538	0.6555857436169805	0.05665838592454604	0.032153845
HaibGm12891Pol24h8Pcr1x	0.9750769230769231	0.6558968841910735	0.04002466147064077	0.024923077
HaibGm12891Yy1sc281V0416101	0.9784835164835165	0.6597324617029495	0.03590850886873331	0.021516483
BroadHuvecPol2b	0.9909450549450549	0.6621299792595451	0.01522923981066174	0.009054945
HaibGm12891Pol2Pcr1x	0.9737142857142858	0.6685225165200965	0.046929334568032395	0.026285714
HaibGm12891Taf1Pcr1x	0.9811648351648352	0.7172315513001093	0.040461101565243775	0.018835165
UtaHuvecPol2	0.9713846153846154	0.7842368797887512	0.08968525449203925	0.028615385
BroadHuvecEzh239875	0.9883076923076923	0.7965587768010134	0.03328194959234447	0.011692308
