id	acc	aucs	auprcs	props
UtaHuvecPol2	0.9714945054945054	0.18011829700468457	0.016432382455142964	0.028505495
BroadHuvecEzh239875	0.28586813186813187	0.2627052509651098	0.009296334642243812	0.011494505
SydhHuvecCfosUcd	0.09547252747252748	0.30348225196069323	0.06276479990772063	0.09547253
HaibGm12891Pol2Pcr1x	0.9737142857142858	0.3316056302380938	0.01812055270336776	0.026263736
SydhHuvecCjun	0.3555824175824176	0.3456921540426219	0.04153660159197583	0.059978023
HaibGm12891Taf1Pcr1x	0.9411208791208792	0.3460375282201059	0.013922799812425215	0.01865934
HaibGm12891Pu1Pcr1x	0.09237362637362638	0.3758948477257106	0.06748027473260094	0.092373624
UtaHuvecCtcf	0.08347252747252747	0.405453691856983	0.06437300893821409	0.08347253
SydhHuvecMax	0.4792967032967033	0.42516771019907873	0.016772510449885147	0.016725274
BroadHuvecCtcf	0.1452967032967033	0.44634764289845924	0.06052983309999535	0.07120879
UwHuvecCtcf	0.07402197802197802	0.45147549091221084	0.0622903616663788	0.070923075
BroadHuvecPol2b	0.5421318681318681	0.4627625093360906	0.009883356551738668	0.009032967
UtaHuvecCmyc	0.8617802197802198	0.4641651903652819	0.011637138137318877	0.009934066
SydhGm12891Pol2Iggmus	0.5722637362637363	0.4949711345849974	0.03655008714231118	0.03208791
HaibGm12891Pax5c20V0416101	0.9898021978021978	0.4951204104785478	0.007514605446013673	0.0055384617
HaibGm12891Pou2f2Pcr1x	0.9245494505494506	0.4989855148669796	0.02574601324786656	0.024725275
SydhGm12891NfkbTnfaIggrab	0.9493846153846154	0.5182193598484133	0.0497519426167531	0.05030769
HaibHuvecPol2Pcr1x	0.03734065934065934	0.536066639403826	0.03941235917712911	0.032175824
HaibHuvecPol24h8V0416101	0.05828571428571429	0.5656842055666698	0.07502474928815146	0.058285713
UtaGm12891Ctcf	0.08004395604395605	0.6326621980576771	0.10254329170768202	0.07907692
SydhHuvecPol2	0.18307692307692308	0.6490477480564097	0.03707529349354152	0.02098901
HaibGm12891Yy1sc281V0416101	0.04320879120879121	0.6679994800203329	0.04025221668333389	0.021384615
HaibGm12891Pol24h8Pcr1x	0.024813186813186814	0.6741885529610931	0.04418299893487995	0.024813186
SydhHuvecGata2Ucd	0.9434285714285714	0.7399260734244194	0.11819822064689106	0.056571428
