id	acc	aucs	auprcs	props
HaibGm12891Pou2f2Pcr1x	0.9752967032967033	0.5064595206154845	0.02520471472821691	0.024703296
SydhGm12891NfkbTnfaIggrab	0.9495384615384616	0.5196562104521875	0.05407204312140524	0.050461538
HaibGm12891Pax5c20V0416101	0.9946153846153846	0.5218870843000774	0.007703753891158097	0.005384615
UwHuvecCtcf	0.9288351648351648	0.5447673523342096	0.08212567947784594	0.07116483
BroadHuvecCtcf	0.9290989010989011	0.5448104498269064	0.08068732269460901	0.070901096
HaibHuvecPol24h8V0416101	0.9414285714285714	0.5599850773431189	0.07428875037955517	0.058571428
UtaHuvecCmyc	0.989934065934066	0.5731628403494924	0.013374798616936223	0.010065934
BroadHuvecPol2b	0.991010989010989	0.5946866534878477	0.013243193641949869	0.008989011
UtaGm12891Ctcf	0.9206153846153846	0.6043909900112265	0.10629898692443443	0.07938462
UtaHuvecCtcf	0.9165274725274726	0.6058041232851288	0.11390234812761504	0.08347253
SydhHuvecMax	0.9833186813186813	0.6108844466522426	0.024164664461677234	0.01668132
SydhGm12891Pol2Iggmus	0.9680659340659341	0.6273326085345455	0.048107784113819684	0.031934068
HaibGm12891Pu1Pcr1x	0.9073186813186813	0.6330582067673312	0.13332884281561833	0.09254945
HaibGm12891Pol2Pcr1x	0.9738241758241758	0.6349478120213669	0.03998055237850187	0.026175825
HaibGm12891Pol24h8Pcr1x	0.9752527472527472	0.6412562290448833	0.03886791252929988	0.024747252
SydhHuvecPol2	0.9790769230769231	0.6426788817349693	0.03458750090566359	0.020923076
HaibGm12891Yy1sc281V0416101	0.9782637362637363	0.64994197478457	0.03901835900400474	0.021736264
SydhHuvecGata2Ucd	0.9438241758241758	0.6760383769072041	0.092155203206468	0.056175824
HaibGm12891Taf1Pcr1x	0.9812747252747253	0.6766974115943345	0.034172060858173176	0.018725274
HaibHuvecPol2Pcr1x	0.968021978021978	0.684196910454358	0.06392489853561141	0.031978022
SydhHuvecCfosUcd	0.9037582417582417	0.6860165924911464	0.16332866183128056	0.095714286
SydhHuvecCjun	0.9403076923076923	0.6876874978313505	0.10248636222790107	0.05969231
BroadHuvecEzh239875	0.9885934065934066	0.7965214300073347	0.03401166123063039	0.011406593
UtaHuvecPol2	0.9715384615384616	0.8075901719742914	0.09670641049247956	0.028461538
